"","from","V1","reason"
"33","gordonphiliph","sullivanjacob",NA
"34","sullivanjacob","gordonphiliph",NA
"35","gordonphiliph","humaabedin",NA
"74","gordonphiliph","sullivanjacob",NA
"75","sullivanjacob","gordonphiliph",NA
"76","gordonphiliph","humaabedin",NA
"87","cherylmills","lewjacob",NA
"107","toivnoraf","sullivanjacob",NA
"108","laszczychjoanne","goldbergphilips",NA
"109","cherylmills","fromanmichaelb",NA
"110","cherylmills","luriemiked",NA
"113","vermarichardr","lewjacob",NA
"114","lewjacob","cherylmills",NA
"115","cherylmills","vermarichardr",NA
"116","vermarichardr","cherylmills",NA
"117","cherylmills","lewjacob",NA
"118","vermarichardr","cherylmills",NA
"119","cherylmills","lewjacob",NA
"120","kellycraiga","shannonthomasa",NA
"121","toivnoraf","cherylmills",NA
"123","shannonthomasa","cherylmills",NA
"139","cherylmills","kennedypatrickf",NA
"140","toivnoraf","sullivanjacob",NA
"141","jeffreylfarrow","sullivanjacob",NA
"143","sbwhoeop","cherylmills",NA
"148","rossalec","stremlaumatthewh",NA
"154","humaabedin","oscarflores","1.4(B),1.4(D)"
"164","valmorolona","cherylmills","1.4(B),1.4(D)"
"165","valmorolona","humaabedin",NA
"173","cherylmills","martyedelman",NA
"175","smithdanielb","cherylmills",NA
"211","burnswilliam","s_specialassistants","1.4(B),1.4(D)"
"218","burnsstrider","martytorrey",NA
"270","burnswilliam","cherylmills","1.4(B),1.4(D)"
"271","cherylmills","burnswilliam","1.4(B),1.4(D)"
"272","burnswilliam","cherylmills","1.4(B),1.4(D)"
"273","cherylmills","burnswilliam","1.4(B),1.4(D)"
"274","burnswilliam","humaabedin","1.4(B),1.4(D)"
"281","burnswilliam","cherylmills","1.4(B),1.4(D)"
"282","cherylmills","burnswilliam","1.4(B),1.4(D)"
"283","burnswilliam","cherylmills","1.4(B),1.4(D)"
"284","cherylmills","burnswilliam","1.4(B),1.4(D)"
"285","burnswilliam","humaabedin","1.4(B),1.4(D)"
"296","burnswilliam","cherylmills","1.4(B),1.4(D)"
"297","cherylmills","burnswilliam","1.4(B),1.4(D)"
"298","burnswilliam","cherylmills","1.4(B),1.4(D)"
"299","cherylmills","burnswilliam","1.4(B),1.4(D)"
"300","burnswilliam","humaabedin","1.4(B),1.4(D)"
"301","burnswilliam","hi","1.4(B),1.4(D)"
"305","burnswilliam","cherylmills","1.4(B),1.4(D)"
"306","cherylmills","burnswilliam","1.4(B),1.4(D)"
"307","burnswilliam","cherylmills","1.4(B),1.4(D)"
"308","cherylmills","burnswilliam","1.4(B),1.4(D)"
"309","burnswilliam","humaabedin","1.4(B),1.4(D)"
"322","rossalec","cherylmills",NA
"336","mullstephend","cherylmills",NA
"337","curtismeghanna","cherylmills",NA
"338","curtismeghanna","radeletstevenc",NA
"339","curtismeghanna","radeletstevenc",NA
"340","cherylmills","humaabedin",NA
"341","humaabedin","cherylmills",NA
"342","humaabedin","cherylmills",NA
"345","cherylmills","humaabedin",NA
"353","colemanclairel","sullivanjacob",NA
"357","mertenkennethh","cherylmills",NA
"361","meehanbernadettem","humaabedin",NA
"363","nidesthomasr","sullivanjacob",NA
"365","strobetalbott","sullivanjacob","1.4(D)"
"367","feldmandanielf","sullivanjacob",NA
"374","cherylmills","jacobsonrobertas",NA
"375","shermanwendyr","geoffreyadams","1.4(B),1.4(D)"
"376","sullivanjacob","nidesthomasr",NA
"377","nidesthomasr","sullivanjacob",NA
"379","cherylmills","oscarflores",NA
"380","balderstonkrism","sullivanjacob",NA
"381","cherylmills","oscarflores",NA
"385","valmorolona","cherylmills",NA
"386","colemanclairel","sullivanjacob",NA
"390","haledavidm","sullivanjacob",NA
"401","colemanclairel","sullivanjacob",NA
"404","rooneymegan","cherylmills",NA
"410","colemanclairel","sullivanjacob",NA
"414","campbellkurtm","cherylmills",NA
"415","cherylmills","campbellkurtm",NA
"421","sullivanjacob","moykinw","1.4(B),1.4(D)"
"427","reinesphilippei","nulandvictoriaj",NA
"428","valmorolona","cherylmills",NA
"429","hormatsrobertd","sullivanjacob",NA
"430","curtismeghanna","valmorolona",NA
"443","gordonphiliph","sullivanjacob","1.4(D)"
"461","kohharoldhongju","cherylmills",NA
"463","toivnoraf","cherylmills",NA
"464","cherylmills","sullivanjacob",NA
"465","kohharoldhongju","cherylmills",NA
"466","opsnewsticker","newsmahogany",NA
"468","abbaszadehnima","sullivanjacob",NA
"475","brimmerestherd","sullivanjacob",NA
"477","toivnoraf","cherylmills",NA
"478","opsnewsticker","newsmahogany",NA
"479","sullivanjacob","rodit",NA
"480","opsnewsticker","newsafghanistan",NA
"481","opsnewsticker","newsmahogany",NA
"496","mullstephend","cherylmills",NA
"498","sullivanjacob","cherylmills",NA
"507","opsnewsticker","newsmahogany",NA
"518","opsnewsticker","newsmahogany",NA
"523","cherylmills","hammermichaela",NA
"524","hammermichaela","cherylmills",NA
"525","cherylmills","hammermichaela",NA
"526","toivnoraf","sullivanjacob",NA
"543","cherylmills","campbellkurtm",NA
"544","mullstephend","s_specialassistants",NA
"545","toivnoraf","cherylmills",NA
"546","cherylmills","toivnoraf",NA
"547","kohharoldhongju","cherylmills",NA
"548","cherylmills","kohharoldhongju",NA
"549","hammermichaela","cherylmills",NA
"554","toivnoraf","cherylmills",NA
"555","cherylmills","campbellkurtm",NA
"562","hammermichaela","cherylmills",NA
"563","hammermichaela","cherylmills",NA
"564","toivnoraf","cherylmills",NA
"571","toivnoraf","cherylmills",NA
"576","toivnoraf","cherylmills",NA
"577","cherylmills","toivnoraf",NA
"600","klevorickcaitlinb","cherylmills",NA
"603","rossalec","cherylmills",NA
"605","gordonphiliph","burnswilliam",NA
"606","opsnewsticker","newschina",NA
"609","toivnoraf","cherylmills",NA
"618","opsnewsticker","newschina",NA
"623","sullivanjacob","davidmilibandpersonal",NA
"625","shermanwendyr","cherylmills",NA
"626","cherylmills","shermanwendyr",NA
"627","shermanwendyr","cherylmills",NA
"637","nidesthomasr","johnfkerry",NA
"638","sullivanjacob","nidesthomasr",NA
"639","nidesthomasr","sullivanjacob",NA
"640","pascualcarlos","cherylmills",NA
"643","gordonphiliph","burnswilliam","1.4 (B)(D)"
"647","cherylmills","cia",NA
"648","caitlinklevorick","cia",NA
"654","opsnewsticker","newsaf",NA
"664","opsnewsticker","newschina",NA
"670","pascualcarlos","cherylmills",NA
"671","toivnoraf","cherylmills",NA
"673","toivnoraf","cherylmills",NA
"676","opsnewsticker","newsmahogany",NA
"681","pir","evergreen",NA
"686","feltmanjeffreyd","sullivanjacob",NA
"689","humaabedin","slaughti",NA
"696","cherylmills","hartoglevinfay",NA
"700","opsnewsticker","newsafghanistan",NA
"704","opsnewsticker","newsmahogany",NA
"709","russorobertv","humaabedin",NA
"721","cherylmills","hartoglevinfay",NA
"724","campbellkurtm","sullivanjacob",NA
"740","haledavidm","s_specialassistants","1.4(B),1.4(D)"
"741","haledavidm","s_specialassistants","1.4(B),1.4(D)"
"743","toivnoraf","cherylmills",NA
"744","toivnoraf","cherylmills",NA
"745","feltmanjeffreyd","nulandvictoriaj","1.4(B),1.4(D)"
"746","feltmanjeffreyd","dibbleelizabethl","1.4(B),1.4(D)"
"752","reinesphilippei","humaabedin",NA
"753","humaabedin","reinesphilippei",NA
"755","humaabedin","preines",NA
"757","humaabedin","reinesphilippei",NA
"770","opsnewsticker","newskorea",NA
"773","reinesphilippei","humaabedin",NA
"774","humaabedin","reinesphilippei",NA
"776","reinesphilippei","humaabedin",NA
"777","humaabedin","reinesphilippei",NA
"778","hanleymonicar","hs",NA
"784","pir","evergreenreply",NA
"786","kennedypatrickf","cherylmills",NA
"795","opsnewsticker","newsmahogany",NA
"805","humaabedin","hanleymr",NA
"811","posnermichaelh","cherylmills","1.4(D)"
"812","feltmanjeffreyd","vajdathomasl","1.4(D)"
"813","cherylmills","lynr",NA
"815","opsnewsticker","newsi",NA
"818","russorobertv","millscheidh",NA
"826","cherylmills","carlosdeltoro",NA
"827","opsnewsticker","newschina",NA
"836","campbellkurtm","sullivanjacob",NA
"839","cherylmills","carlosdeltoro",NA
"840","cherylmills","cdeltoro",NA
"841","cherylmills","cdeltoro",NA
"842","cherylmills","cdeltoro",NA
"847","toivnoraf","cherylmills",NA
"852","toivnoraf","cherylmills",NA
"854","cherylmills","carlosdeltoro",NA
"859","posnermichaelh","cherylmills",NA
"862","feltmanjeffreyd","sullivanjacob",NA
"865","toivnoraf","cherylmills",NA
"866","campbellkurtm","russeldanielr",NA
"870","opsnewsticker","newsmahogany",NA
"871","sullivanjacob","stevensjohnc",NA
"872","sullivanjacob","feltmanjeffreyd",NA
"881","reynosojulissa","millscheidh",NA
"889","oteromaria","burnswilliam",NA
"891","feltmanjeffreyd","sullivanjacob","1.4 (B)(D)"
"893","meehanbernadettem","sullivanjacob","1.4 (B)(D)"
"894","reinesphilippei","wardclarissa",NA
"895","sullivanjacob","feltmanjeffreyd",NA
"906","reinesphilippei","clarissaward",NA
"909","oteromaria","burnswilliam",NA
"915","evergreen","sullivanjacob",NA
"923","sullivanjacob","feltmanjeffreyd",NA
"927","sullivanjacob","shermanwendyr","1.4 (B)(D)"
"928","shermanwendyr","sullivanjacob","1.4 (B)(D)"
"929","sullivanjacob","shermanwendyr","1.4 (B)(D)"
"930","shermanwendyr","burnswilliam","1.4 (B)(D)"
"936","caitlinklevorick","cherylmills",NA
"939","laszczychjoanne","bethfellman",NA
"944","feldmandanielf","sullivanjacob",""
"949","humaabedin","valmorou",NA
"958","toivnoraf","cherylmills",NA
"965","burnswilliam","sullivanjacob","1.4 (B)(D)"
"966","sullivanjacob","shermanwendyr","1.4 (B)(D)"
"967","shermanwendyr","sullivanjacob","1.4 (B)(D)"
"968","sullivanjacob","shermanwendyr","1.4 (B)(D)"
"969","shermanwendyr","burnswilliam","1.4 (B)(D)"
"970","feltmanjeffreyd","sullivanjacob",NA
"971","humaabedin","valmorou",NA
"986","opsnewsticker","newsmahogany",NA
"997","shermanwendyr","sullivanjacob","1.4 (B)(D)"
"998","sullivanjacob","shermanwendyr","1.4 (B)(D)"
"999","shermanwendyr","burnswilliam","1.4 (B)(D)"
"1000","toivnoraf","cherylmills",NA
"1028","toivnoraf","cherylmills",NA
"1029","mullstephend","cherylmills",NA
"1033","cherylmills","carsonjohnnie",NA
"1034","carsonjohnnie","sullivanjacob",NA
"1062","mullstephend","cherylmills",NA
"1063","rossalec","sullivanjacob",NA
"1064","abbaszadehnima","sullivanjacob",NA
"1065","opsnewsticker","newsmahogany",NA
"1084","opsnewsticker","newsmahogany",NA
"1087","curtismeghanna","cherylmills",NA
"1098","shermanwendyr","subjectmadeleine",NA
"1099","hanleymonicar","ih",NA
"1113","humaabedin","valmorou",NA
"1120","toivnoraf","cherylmills",NA
"1134","pascualcarlos","cherylmills",NA
"1135","sullivanjacob","gordonphiliph",NA
"1138","toivnoraf","cherylmills",NA
"1139","toivnoraf","cherylmills",NA
"1142","sullivanjacob","valmorolona",NA
"1149","campbellkurtm","daileyjohn",NA
"1154","opsnewsticker","newsmahogany",NA
"1156","cherylmills","subjectfwanotherthankyou",NA
"1167","klevorickcaitlinb","nulandvictoriaj",NA
"1169","campbellkurtm","daileyjohnliebermanevelyn",NA
"1171","campbellkurtm","millscherylid","1.4(D)"
"1172","kohharoldhongju","carsonjohnnie",NA
"1175","mullstephend","cherylmills",NA
"1176","feltmanjeffreyd","sullivanjacob","1.4(B),1.4(D)"
"1177","kennedypatrickf","cherylmills",NA
"1178","campbellkurtm","liebermane",NA
"1181","klevorickcaitlinb","masonismelindaj",NA
"1184","rossalec","humaabedin",NA
"1186","campbellkurtm","liebermanevelyn",NA
"1187","campbellkurtm","cherylmills",NA
"1188","klevorickcaitlinb","cherylmills",NA
"1191","shermanwendyr","cherylmills",NA
